date,open,close,high,low,volume,volume.1
2023-03-08,30.868301922039,31.37248418676564,31.454799658557743,30.467013997052494,14671.0,14671.0
2023-03-09,31.35190531881761,31.187274375233404,31.35190531881761,30.734539280376836,13930.0,13930.0
2023-03-10,30.90945965793505,31.043222299597225,31.269589847025507,30.569908336792626,14145.0,14145.0
2023-03-13,31.125537771389325,30.11717324193605,31.21814267715544,29.715885316949542,18955.0,18955.0
2023-03-14,29.911384562455797,28.94417776889857,29.99370003424789,28.40912720224989,22243.0,22243.0
2023-03-15,29.201413618248893,29.026493240690677,29.42778116567718,28.892730599028503,10265.0,10265.0
2023-03-16,29.119098146456796,28.3371011644318,29.119098146456796,28.29594342853575,10072.0,10072.0
2023-03-17,28.614915881730152,28.861862297106462,29.067650976586727,28.35768003237983,12198.0,12198.0
2023-03-20,29.0470721086387,28.52231097596404,29.067650976586727,28.42970607019792,9065.0,9065.0
2023-03-21,28.53260040993805,28.97504607082061,29.005914372742648,28.419416636223907,9924.0,9924.0
2023-03-22,29.180834750300868,29.448360033625207,29.510096637469285,28.964756636846595,13020.0,13020.0
2023-03-23,29.438070599651198,29.63356984515744,29.746753618871583,29.108808712482777,12805.0,12805.0
2023-03-24,29.67472758105349,29.97312116629987,30.02456833616993,29.448360033625207,11506.0,11506.0
2023-03-27,29.983410600273885,29.72617475092356,30.16862041180612,29.448360033625207,12185.0,12185.0
2023-03-28,29.72617475092356,28.91330946697653,29.746753618871583,28.892730599028503,13099.0,13099.0
2023-03-29,28.923598900950545,28.99562493876864,29.37633399580712,28.84128342915844,8124.0,8124.0
2023-03-30,28.99562493876864,29.01620380671666,29.22199248619692,28.55317927788608,9292.0,9292.0
2023-03-31,29.01620380671666,29.46893890157323,29.48951776952126,28.820704561210416,8480.0,8480.0
2023-04-03,29.808490222715665,30.02456833616993,30.07601550604,29.510096637469285,11408.0,11408.0
2023-04-04,29.94225286437783,28.985335504794623,29.962831732325856,28.90302003300252,14252.0,14252.0
2023-04-06,28.97504607082061,28.244496258665684,28.985335504794623,28.0181287112374,15772.0,15772.0
2023-04-07,28.470863806093973,28.42970607019792,28.470863806093973,28.203338522769634,7209.0,7209.0
2023-04-10,28.42970607019792,28.02841814521141,28.892730599028503,27.946102673419308,9219.0,9219.0
2023-04-11,28.038707579185427,27.85349776765319,28.193049088795615,27.719735125991026,6578.0,6578.0
2023-04-12,27.7814717298351,28.090154749055493,28.090154749055493,27.67857739009497,7053.0,7053.0
2023-04-13,28.090154749055493,27.256710597160435,28.172470220847597,27.19497399331636,12786.0,12786.0
2023-04-14,27.411052106770637,27.256710597160435,27.524235880484778,26.7525283324338,8852.0,8852.0
2023-04-17,27.215552861264385,27.40076267279662,27.53452531445879,27.184684559342347,5969.0,5969.0
2023-04-18,27.565393616380828,27.06121135165419,27.565393616380828,26.978895879862087,5244.0,5244.0
2023-04-19,27.15381625742031,26.70108116256373,27.15381625742031,26.659923426667685,5377.0,5377.0
2023-04-20,26.61876569077163,26.423266445265384,26.61876569077163,26.114583426044994,7048.0,7048.0
2023-04-21,26.423266445265384,25.71329550105849,26.629055124745644,25.67213776516244,8897.0,8897.0
2023-04-24,25.71329550105849,25.91908418053875,26.124872860019007,25.68242719913645,4838.0,4838.0
2023-04-25,25.826479274772637,24.59174719789107,25.877926444642693,24.303643046618703,10517.0,10517.0
2023-04-26,24.59174719789107,25.47663851965619,25.6412694632404,24.571168329943045,9099.0,9099.0
2023-04-27,25.41490191581211,25.4869279536302,25.980820784382825,25.342875877994015,6056.0,6056.0
2023-04-28,25.4046124818381,26.18660946386309,26.258635501681177,25.4046124818381,6400.0,6400.0
2023-05-04,25.92937361451276,25.785321538876577,26.176320029889077,25.157666066461783,14994.0,14994.0
2023-05-05,25.733874369006514,25.17824493440981,25.733874369006514,25.03419285877363,5591.0,5591.0
2023-05-08,25.04448229274764,25.538375123500263,25.71329550105849,25.00332455685159,8425.0,8425.0
2023-05-09,25.51779625555224,24.78724644339732,25.51779625555224,24.78724644339732,6363.0,6363.0
2023-05-10,24.6946415376312,25.23998153825389,25.270849840175927,24.540300028021008,5545.0,5545.0
2023-05-11,25.10621889659172,25.4869279536302,25.569243425422307,25.08564002864369,4295.0,4295.0
2023-05-12,25.4869279536302,25.44577021773415,25.67213776516244,25.31200757607198,5689.0,5689.0
2023-05-15,25.44577021773415,25.661848331188423,25.69271663311046,25.20911323633185,4020.0,4020.0
2023-05-16,25.775032104902568,26.217477765785127,26.248346067707164,25.456059651708163,8816.0,8816.0
2023-05-17,26.23805663373315,26.82455437025189,26.927448709992024,25.91908418053875,12062.0,12062.0
2023-05-18,27.030343049732156,26.56731852090157,27.80205059778313,26.392398143343343,17786.0,17786.0
2023-05-19,26.557029086927557,27.7814717298351,28.069575881107465,26.557029086927557,24042.0,24042.0
2023-05-22,27.26700003113445,28.131312484951543,28.162180786873584,27.23613172921241,19076.0,19076.0
2023-05-23,27.997549843289374,28.306232862509766,29.818779656689674,27.771182295861085,31730.0,31730.0
2023-05-24,28.090154749055493,29.32488682593705,29.962831732325856,27.93581323944529,32328.0,32328.0
2023-05-25,29.1293875804308,28.707520787496268,29.17054531632686,28.29594342853575,22489.0,22489.0
2023-05-26,28.46057437211996,28.26507512661371,28.717810221470284,28.0181287112374,18935.0,18935.0
2023-05-29,28.15189135289957,27.874076635601217,28.52231097596404,27.699156258043,15259.0,15259.0
2023-05-30,27.59626191830287,28.038707579185427,28.36796946635384,27.59626191830287,10041.0,10041.0
2023-05-31,27.98726040931536,27.524235880484778,28.038707579185427,27.50365701253675,8355.0,8355.0
2023-06-01,27.452209842666683,27.50365701253675,27.85349776765319,27.184684559342347,8226.0,8226.0
2023-06-02,27.627130220224903,28.31652229648377,28.75896795736633,27.339026068952546,17835.0,17835.0
2023-06-05,28.481153240067982,28.18275965482161,28.573758145834105,27.93581323944529,11778.0,11778.0
2023-06-06,28.038707579185427,27.26700003113445,28.090154749055493,27.20526342729037,9650.0,9650.0
2023-06-07,27.7814717298351,26.999474747810112,27.7814717298351,26.886290974095967,6354.0,6354.0
2023-06-08,26.958317011914065,26.82455437025189,27.15381625742031,26.577607954875575,8026.0,8026.0
2023-06-09,26.356660942535807,26.896422546073055,27.80281467276768,26.346476761336994,12993.0,12993.0
2023-06-12,26.774212371687263,27.93520902835229,28.66847007466704,26.74365982809082,26670.0,26670.0
2023-06-13,27.925024847153477,28.301839551509666,28.403681363497824,27.37507906241741,19067.0,19067.0
2023-06-14,28.434233907094274,27.80281467276768,28.61754916867296,27.52784178039965,12251.0,12251.0
2023-06-15,27.80281467276768,28.34257627630493,28.71939098066112,27.65005195478544,15947.0,15947.0
2023-06-16,28.505523175485983,28.250918645515583,28.64810171226941,28.047235021539265,12584.0,12584.0
2023-06-19,28.220366101919137,28.82123279264928,29.218415859403105,28.087971746334528,19365.0,19365.0
2023-06-20,28.82123279264928,29.71744073814509,30.32849161007405,28.607364987474146,38939.0,38939.0
2023-06-21,29.473020389373502,28.7703118866552,29.71744073814509,28.61754916867296,21607.0,21607.0
2023-06-26,28.36294463870256,28.01668247794282,29.086021503818497,27.965761571948736,14297.0,14297.0
2023-06-27,28.24073446431677,28.2611028267144,28.474970631889537,27.85373557876176,8419.0,8419.0
2023-06-28,28.281471189112036,28.138892652328607,28.61754916867296,27.089921988850563,13942.0,13942.0
2023-06-29,28.006498296744,29.371178577385344,29.747993281741536,28.006498296744,25199.0,25199.0
2023-06-30,29.218415859403105,29.58504638256048,29.829466731332065,29.20823167820429,17168.0,17168.0
2023-07-03,29.809098368934432,29.0249164166256,29.900755999723778,28.963811329432705,15713.0,15713.0
2023-07-04,29.035100597824417,30.114623804898912,30.226649798085887,28.99436387302915,27790.0,27790.0
2023-07-05,30.084071261302466,29.870203456127328,30.796963945219584,29.656335650952197,22568.0,22568.0
2023-07-06,29.86001927492851,29.666519832151007,30.05351871770602,29.19804749700548,16019.0,16019.0
2023-07-07,29.422099483379423,29.269336765397185,29.84983509372969,29.19804749700548,13928.0,13928.0
2023-07-10,29.422099483379423,29.381362758584164,30.420149240863395,29.218415859403105,18398.0,18398.0
2023-07-11,29.931308543320224,30.287754885278783,30.888621576008926,29.5341254765664,27094.0,27094.0
2023-07-12,30.348859972471683,33.312456701327136,33.312456701327136,30.287754885278783,30641.0,30641.0
2023-07-13,32.93564199697095,32.609748198608834,32.93564199697095,31.30617300516038,95132.0,95132.0
2023-07-14,31.88667133349289,35.86868618222995,35.86868618222995,31.448751541943807,165302.0,165302.0
2023-07-17,33.098588896152,32.28385440024672,33.90313921085846,32.28385440024672,80632.0,80632.0
2023-07-18,30.725674676827875,30.53217523405037,31.49967244793789,30.27757070407997,105134.0,105134.0
2023-07-19,30.593280321243263,29.49338875177114,31.122857743581694,29.46283620817469,69885.0,69885.0
2023-07-20,29.371178577385344,28.36294463870256,29.81928255013325,28.34257627630493,51701.0,51701.0
2023-07-21,28.03705084034045,27.52784178039965,28.21018192072032,27.507473418002014,33151.0,33151.0
2023-07-24,27.344526518820963,27.660236135984256,27.660236135984256,27.008448539260037,20248.0,20248.0
2023-07-25,27.660236135984256,27.925024847153477,28.05741920273808,27.4972892368032,26374.0,26374.0
2023-07-26,27.823183035165314,27.26305306923043,27.823183035165314,27.19176380083872,21682.0,21682.0
2023-07-27,27.436184149610305,27.15102707604345,27.78244631037005,27.06955362645293,15743.0,15743.0
2023-07-28,27.079737807651743,27.21213216323635,27.303789794025697,26.59089711010857,17167.0,17167.0
2023-07-31,27.26305306923043,27.77226212917123,27.85373557876176,27.01863272045885,24849.0,24849.0
2023-08-01,27.629683592387806,27.7518937667736,27.823183035165314,27.476920874405568,13533.0,13533.0
2023-08-02,27.690788679580702,27.884288122358207,28.189813558322687,27.507473418002014,17150.0,17150.0
2023-08-03,27.70097286077952,27.71115704197834,28.006498296744,27.660236135984256,11359.0,11359.0
2023-08-04,27.660236135984256,27.73152540437597,28.006498296744,27.599131048791364,14753.0,14753.0
2023-08-07,27.629683592387806,27.95557739074992,28.128708471129794,27.599131048791364,15118.0,15118.0
2023-08-08,28.01668247794282,27.405631606013856,28.05741920273808,27.39544742481504,15365.0,15365.0
2023-08-09,27.29360561282688,27.17139543844109,27.588946867592544,27.028816901657663,12496.0,12496.0
2023-08-10,27.06955362645293,27.161211257242275,27.344526518820963,27.01863272045885,8458.0,8458.0
2023-08-11,27.222316344435168,26.550160385313312,27.232500525633984,26.53997620411449,10584.0,10584.0
2023-08-14,26.356660942535807,26.86587000247661,26.906606727271875,26.28537167414409,7927.0,7927.0
2023-08-15,27.008448539260037,26.74365982809082,27.161211257242275,26.50942366051805,6422.0,6422.0
2023-08-16,26.672370559699107,26.17334568095712,26.83531745888016,26.132608956161857,7414.0,7414.0
2023-08-17,26.17334568095712,26.88623836487424,27.01863272045885,26.000214600577248,13355.0,13355.0
2023-08-18,26.926975089669504,26.723291465693183,27.52784178039965,26.70292310329555,17081.0,17081.0
2023-08-21,26.468686935722783,26.27518749294528,27.089921988850563,26.183529862155936,16612.0,16612.0
2023-08-22,26.193714043354756,26.29555585534291,26.570528747710945,25.63358407741988,12271.0,12271.0
2023-08-23,26.27518749294528,25.99003041937843,26.448318573325157,25.878004426191456,8578.0,8578.0
2023-08-24,26.051135506571327,25.64376825861869,26.305740036541728,25.297506097858943,9751.0,9751.0
2023-08-25,25.35861118505184,24.75774449432169,25.66413662101632,24.615165957538277,11089.0,11089.0
2023-08-28,26.03076714417369,24.77811285671933,26.27518749294528,24.74756031312288,15480.0,15480.0
2023-08-29,25.032717386689725,26.601081291307395,26.71310728449437,24.77811285671933,25495.0,25495.0
2023-08-30,26.641818016102658,27.059369445254116,27.44636833080912,26.601081291307395,21767.0,21767.0
2023-08-31,26.86587000247661,27.12047453244701,27.252868888031617,26.86587000247661,11234.0,11234.0
2023-09-01,27.130658713645825,27.130658713645825,27.39544742481504,26.814949096482525,11019.0,11019.0
2023-09-04,27.181579619639905,27.232500525633984,27.39544742481504,26.784396552886083,13045.0,13045.0
2023-09-05,27.19176380083872,27.344526518820963,27.578762686393727,27.03900108285648,16280.0,16280.0
2023-09-06,27.39544742481504,27.70097286077952,27.76207794797242,27.2426847068328,18196.0,18196.0
2023-09-07,27.660236135984256,27.06955362645293,27.823183035165314,27.008448539260037,12773.0,12773.0
2023-09-08,27.110290351248192,27.476920874405568,27.588946867592544,27.100106170049376,11800.0,11800.0
2023-09-11,27.405631606013856,27.609315229990177,27.7518937667736,27.26305306923043,10665.0,10665.0
2023-09-12,27.670420317183076,27.792630491568865,28.2611028267144,27.629683592387806,16428.0,16428.0
2023-09-13,27.874103941159397,27.26305306923043,27.874103941159397,26.896422546073055,12259.0,12259.0
2023-09-14,27.252868888031617,26.794580734084896,27.252868888031617,26.641818016102658,7888.0,7888.0
2023-09-15,26.804764915283712,26.641818016102658,27.079737807651743,26.58071292890976,7644.0,7644.0
2023-09-18,26.59089711010857,27.26305306923043,27.792630491568865,26.45850275452397,16029.0,16029.0
2023-09-19,27.252868888031617,26.468686935722783,27.68060449838189,26.32610839893936,10701.0,10701.0
2023-09-20,26.468686935722783,26.183529862155936,26.86587000247661,26.081688050167777,7718.0,7718.0
2023-09-21,26.17334568095712,26.50942366051805,26.855685821277795,26.07150386896896,12346.0,12346.0
2023-09-22,26.27518749294528,27.21213216323635,27.39544742481504,26.051135506571327,14864.0,14864.0
2023-09-25,27.45655251200794,27.73152540437597,28.332392095106112,27.059369445254116,26188.0,26188.0
2023-09-26,27.690788679580702,30.50162269045392,30.50162269045392,27.4972892368032,78525.0,78525.0
2023-09-27,29.81928255013325,30.318307428875237,30.695122133231425,29.34062603378889,98533.0,98533.0
2023-09-28,29.55449383896403,29.411915302180606,29.79891418773562,28.97399551063152,62396.0,62396.0
2023-10-09,29.0249164166256,29.22860004060192,29.391546939782977,28.688838437064675,48274.0,48274.0
2023-10-10,29.33044185259008,29.646151469753377,29.646151469753377,28.61754916867296,53229.0,53229.0
2023-10-11,29.59523056375929,29.829466731332065,30.033150355308383,28.790680249052837,55612.0,55612.0
2023-10-12,29.34062603378889,29.58504638256048,29.94149272451904,29.065653141420864,38765.0,38765.0
2023-10-13,29.5341254765664,28.393497182299008,29.5341254765664,28.179629377123877,41393.0,41393.0
2023-10-16,28.41386554469664,29.279520946596,31.23488373676868,28.332392095106112,51023.0,51023.0
2023-10-17,28.505523175485983,27.965761571948736,28.92307460463744,27.609315229990177,33242.0,33242.0
2023-10-18,27.46673669320675,26.56034456651213,27.965761571948736,26.2242665869512,32052.0,32052.0
2023-10-19,26.58071292890976,29.218415859403105,29.218415859403105,26.58071292890976,35456.0,35456.0
2023-10-20,29.442467845777056,30.0433345365072,31.448751541943807,29.19804749700548,114816.0,114816.0
2023-10-23,29.442467845777056,30.85806903241248,31.357093911154465,29.19804749700548,94369.0,94369.0
2023-10-24,30.39978087846576,30.542359415249184,30.70530631443024,29.870203456127328,68912.0,68912.0
2023-10-25,30.2979390664776,30.165544710892995,30.491438509255104,29.68688819454864,53215.0,53215.0
2023-10-26,29.73780910054272,31.285804642762752,31.32654136755802,29.350810214987717,79100.0,79100.0
