date,open,close,high,low,volume,volume.1
2026-01-15,66.01,68.58,80.0,66.0,349468.0,349468.0
2026-01-16,60.0,55.68,64.88,55.5,268304.0,
2026-01-19,53.49,52.04,54.31,51.0,167921.0,
2026-01-20,53.05,53.43,56.65,52.43,173735.0,
2026-01-21,51.0,49.0,51.41,48.93,171357.0,
2026-01-22,48.15,46.63,48.2,46.5,135072.0,
2026-01-23,46.6,46.7,46.89,46.03,77784.0,
2026-01-26,46.98,46.11,47.07,45.99,68821.0,
2026-01-27,46.3,45.4,46.3,45.11,56277.0,
2026-01-28,45.33,45.1,45.74,44.99,44359.0,
2026-01-29,45.11,44.17,45.11,44.08,51720.0,
2026-01-30,44.33,44.35,44.88,43.8,43063.0,
2026-02-02,44.18,44.22,44.75,43.8,32735.0,
2026-02-03,44.4,44.39,44.43,44.1,28674.0,
2026-02-04,44.31,44.28,44.39,43.94,28377.0,
2026-02-05,44.18,44.76,44.87,44.03,38570.0,
2026-02-06,44.81,44.49,44.85,44.3,25324.0,
2026-02-09,44.66,44.71,44.83,44.58,24754.0,
2026-02-10,44.72,44.23,44.72,44.15,29454.0,
2026-02-11,44.31,43.94,44.31,43.92,23107.0,
2026-02-12,43.88,43.15,43.88,43.15,32612.0,
2026-02-13,43.07,43.0,43.31,43.0,14770.0,
