date,open,close,high,low,volume
2019-01-02,1.73,1.77,1.79,1.72,890514
2019-01-03,1.77,1.79,1.79,1.76,499239
2019-01-04,1.77,1.83,1.84,1.77,793396
2019-01-07,1.95,1.91,1.97,1.9,1549417
2019-01-08,1.91,2.07,2.16,1.91,3402281
2019-01-09,2.06,2.06,2.13,2.03,2209193
2019-01-10,2.02,1.94,2.03,1.93,1858449
2019-01-11,2.02,1.98,2.05,1.95,1419824
2019-01-14,1.98,1.95,1.98,1.94,778856
2019-01-15,1.96,1.97,1.98,1.95,798036
2019-01-16,1.97,1.93,1.97,1.92,759597
2019-01-17,1.94,1.92,1.95,1.91,495505
2019-01-18,1.91,1.92,1.94,1.9,560642
2019-01-21,1.92,1.97,1.99,1.91,1233464
2019-01-22,1.98,1.96,1.99,1.95,378212
2019-01-23,1.97,1.97,1.99,1.96,418191
2019-01-24,1.96,1.97,1.98,1.93,626905
2019-01-25,1.96,1.97,1.98,1.94,509311
2019-01-28,1.97,1.98,1.98,1.97,470668
2019-01-29,1.98,1.97,1.99,1.93,641336
2019-01-30,1.97,2.0,2.01,1.95,817450
2019-01-31,2.0,1.99,2.04,1.99,676244
2019-02-01,2.0,2.07,2.07,1.99,834286
2019-02-11,2.07,2.1,2.14,2.07,1124577
2019-02-12,2.1,2.25,2.27,2.09,2355214
2019-02-13,2.29,2.52,2.52,2.23,4930076
2019-02-14,2.65,2.44,2.69,2.38,5705952
2019-02-15,2.38,2.42,2.48,2.37,2711295
2019-02-18,2.44,2.5,2.55,2.38,3417568
2019-02-19,2.47,2.44,2.48,2.39,2941641
2019-02-20,2.43,2.45,2.47,2.39,2413377
2019-02-21,2.42,2.37,2.43,2.35,2928884
2019-02-22,2.35,2.39,2.4,2.34,1983167
2019-02-25,2.5,2.63,2.64,2.45,5591248
2019-02-26,2.67,2.6,2.79,2.55,5488076
2019-02-27,2.56,2.45,2.6,2.4,4296479
2019-02-28,2.45,2.43,2.48,2.4,1713761
2019-03-01,2.44,2.48,2.48,2.4,1934409
2019-03-04,2.66,2.63,2.71,2.6,5397387
2019-03-05,2.65,2.95,2.95,2.6,6768339
2019-03-06,3.13,3.15,3.25,3.02,10283432
2019-03-07,3.07,3.05,3.08,2.99,5592572
2019-03-08,2.95,2.79,3.0,2.79,4701586
2019-03-11,2.77,3.04,3.07,2.77,4435741
2019-03-12,3.06,2.99,3.07,2.95,3590882
2019-03-13,2.99,2.86,3.01,2.84,2840417
2019-03-14,2.83,2.9,2.97,2.77,3104283
2019-03-15,2.9,2.9,2.96,2.87,1838296
2019-03-18,2.88,2.91,2.91,2.82,1874754
2019-03-19,2.94,2.97,3.03,2.92,2650771
2019-03-20,3.07,2.97,3.11,2.88,3235312
2019-03-21,2.97,2.96,3.03,2.9,2716612
2019-03-22,3.04,3.17,3.23,2.97,6769467
2019-03-25,3.4,3.53,3.53,3.27,13554608
2019-03-26,3.53,3.22,3.53,3.18,9671883
2019-03-27,3.22,3.27,3.32,3.04,6033671
2019-03-28,3.19,3.15,3.25,3.13,3885423
2019-03-29,3.12,3.18,3.2,3.07,3573685
2019-04-01,3.2,3.27,3.29,3.2,4153897
2019-04-02,3.29,3.22,3.29,3.19,3738488
2019-04-03,3.22,3.23,3.25,3.18,2395580
